BIRD.ID,Bird.age,Age.next.season,Pre.Rain,Post.Rain,RTL.12,Ad.Grp.size,D4.Mass,Sex,Predation,Birth.Clutch,Group,Season,Surv.next.ssn,fledged,D12.Mass
UUBUA,13,260,72.5,120,0.964549645,3,NA,M,NA,ZE012,ZE,2013-14,1,NA,23.916
UUBON,14,270,31.5,129.5,1.37732663,2,NA,M,NA,OK013,OK,2013-14,1,NA,34.802
UUBLU,13,206,117.5,204,1.235972804,2,NA,F,NA,FO025,FO,2013-14,1,NA,33.666
UUOUC,11,237,50.5,163,1.152601948,2,NA,F,NA,LE017,LE,2013-14,1,NA,26.304
OIL,11,199,163,162,1.657043197,3,NA,F,NA,AY022,AY,2013-14,0,NA,35.194
UUOUU,13,239,50.5,163,1.158111632,2,NA,M,NA,LE017,LE,2013-14,1,NA,36.246
UUBOO,12,272,31.5,129.5,1.247359461,3,NA,F,NA,KU010,KU,2013-14,1,NA,35.23
UUOBN,11,175,203,13,0.949626018,2,NA,F,NA,CH018,CH,2013-14,1,NA,28.354
NAR,12,259,72.5,120,1.481527844,3,NA,F,NA,JE006,JE,2013-14,0,NA,21.09
UUBLS,12,249,49,167,1.111261787,2,NA,M,NA,KI005,KI,2013-14,1,NA,26.54
UUBAR,12,197,84,162,1.497431212,3,NA,F,NA,TI009,TI,2013-14,1,NA,33.54
UUBAC,11,202,163,162,1.158998833,2,NA,F,NA,JA019,JA,2013-14,1,NA,38.514
UUBUO,11,248,49,167,1.285884611,2,NA,M,NA,TI008,TI,2013-14,1,NA,33.454
OSS,12,201,163,162,0.949935251,2,NA,M,NA,SU015,SU,2013-14,0,NA,34.09
NSC,11,212,114.5,211,0.964169414,3,NA,F,NA,QU016,QU,2013-14,0,NA,36.534
UUOBU,12,173,158.5,25.5,1.154507264,3,NA,M,NA,KU013,KU,2013-14,1,NA,34.69
UUOBR,12,264,68,124.5,1.741524742,2,NA,M,NA,FO024,FO,2013-14,1,NA,33.66
CII,11,211,114.5,211,1.178819299,3,NA,M,NA,YI012,YI,2013-14,1,NA,30.584
OSU,11,208,110.5,211,0.433701977,3,NA,F,NA,RA018,RA,2013-14,0,NA,32.674
NSS,11,201,163,162,1.243648826,2,NA,M,NA,BO023,BO,2013-14,0,NA,36.974
LRLNC,12,299,45.5,74,0.918853399,3,NA,F,NA,RO010,RO,2014-15,1,NA,34.89
LRLOO,12,293,45.5,74,1.001206853,6,NA,F,NA,MO017,MO,2014-15,0,NA,23.07
LRLOA,12,268,74,29.5,1.064714865,6,NA,M,NA,IN022,IN,2014-15,1,NA,35.32
UUOOU,12,331,4,45.5,0.858157695,5,NA,F,NA,YE023,YE,2014-15,1,NA,32.89
LRLBO,12,306,45.5,74,0.766656364,4,NA,M,NA,PO015,PO,2014-15,1,NA,32.61
LRLIL,12,301,45.5,74,0.89569216,6,NA,F,NA,CH019,CH,2014-15,1,NA,34.1
LRLOS,11,265,74,29.5,1.155917471,5,NA,F,NA,TO023,TO,2014-15,0,NA,31.454
LRLBC,12,305,45.5,74,0.958870911,5,NA,F,NA,NY017,NY,2014-15,1,NA,33.2
LRLON,12,293,45.5,74,1.162158881,6,NA,F,NA,FO027,FO,2014-15,0,NA,31.19
LRLIB,12,302,45.5,74,1.143276214,3,NA,F,NA,WE024,WE,2014-15,1,NA,35.36
UUOOA,12,332,4,45.5,0.763914493,6,NA,M,NA,JE010,JE,2014-15,0,NA,34.46
LRLIO,12,302,45.5,74,1.089291719,5,NA,F,NA,GE031,GE,2014-15,0,NA,35.84
ONO,12,365,3,4,1.002656379,6,NA,F,NA,KU014,KU,2014-15,0,NA,24.77
LRLCL,12,262,74,29.5,1.387952775,4,NA,M,NA,CA006,CA,2014-15,0,NA,22.73
LRLIC,12,302,45.5,74,1.033740252,7,NA,M,NA,HY022,HY,2014-15,1,NA,35
UUOON,11,330,4,45.5,1.132627582,5,NA,M,NA,YE023,YE,2014-15,1,NA,31.494
LRLII,12,302,45.5,74,0.762006395,5,NA,M,NA,EL023,EL,2014-15,0,NA,36.88
LRLOC,12,290,45.5,76,0.864941503,3,NA,M,NA,UB022,UB,2014-15,1,NA,32.09
LRLCO,12,261,74,29.5,1.015427803,4,NA,M,NA,QU021,QU,2014-15,0,NA,33.1
LRLBN,11,305,45.5,74,0.815053188,4,NA,M,NA,PO015,PO,2014-15,0,NA,34.524
LRLOU,11,289,45.5,76,0.959363662,3,NA,M,NA,UB022,UB,2014-15,1,NA,37.934
LRLOL,12,304,45.5,74,0.977607221,5,NA,F,NA,DI020,DI,2014-15,1,NA,25.79
LRLIA,12,301,45.5,74,0.968014437,6,NA,M,NA,CH019,CH,2014-15,0,NA,33.39
ONU,11,363,0,4,0.930893411,3,NA,M,NA,OK016,OK,2014-15,0,NA,16.584
OCN,12,367,3,4,1.262955667,5,NA,F,NA,GE030,GE,2014-15,0,NA,25.2
LRLCC,12,260,74,29.5,1.081023162,6,NA,F,NA,JE011,JE,2014-15,1,NA,32.76
LRLUI,12,256,74,29.5,0.854774546,5,NA,M,NA,GE032,GE,2014-15,1,NA,37.08
